CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1491905489.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;66953392.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;52776093.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.02;Aplicações no Mercado Aberto;356424684.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.02;Aplicações no Mercado Aberto;387601515.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.03;Títulos e Valores Mobiliários;46008893.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.03;Títulos e Valores Mobiliários;51180796.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.04;Operações de Crédito;877064044.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.04;Operações de Crédito;964925057.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;-53602150.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;-59227890.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.06;Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.06;Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.02.04.08;Outros Ativos Financeiros;94265671.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.02.04.08;Outros Ativos Financeiros;94649918.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.03;Tributos;64763208.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.03;Tributos;67916922.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.03.01;Imposto de Renda e Contribuição Social - Correntes;11030120.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.03.01;Imposto de Renda e Contribuição Social - Correntes;10653911.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;53733088.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;57263011.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.03.03;Outros;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.03.03;Outros;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.04;Outros Ativos;33684686.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.04;Outros Ativos;29000463.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.04.01;Ativos Não Correntes a Venda;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.04.01;Ativos Não Correntes a Venda;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.04.02;Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.04.02;Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.04.03;Outros;33684686.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.04.03;Outros;29000463.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05;Investimentos;36042811.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05;Investimentos;37044909.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.01;Participações em Coligadas;6909368.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.01;Participações em Coligadas;7117950.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.02;Participações em Controladas em Conjunto;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.02;Participações em Controladas em Conjunto;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.03;Participações em Controladas;29131323.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.03;Participações em Controladas;29924872.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.03.01;Investimentos em Controladas;29166100.0000000000;N
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.03.01;Investimentos em Controladas;29959615.0000000000;N
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.03.02;Perdas por Redução ao Valor Recuperável;-34777.0000000000;N
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.03.02;Perdas por Redução ao Valor Recuperável;-34743.0000000000;N
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.04;Propriedades para Investimento;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.04;Propriedades para Investimento;0.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.05.05;Outros Investimentos;2120.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.05.05;Outros Investimentos;2087.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.06;Imobilizado;8534699.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.06;Imobilizado;9870462.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-12-31;1.06.01;Imobilizado de Uso;21151466.0000000000;S
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-12-31;1.06.01;Imobilizado de Uso;23396169.0000000000;S
